subject,method,n_detected_total,max_detected_duration_s,degenerate_blob
synth01,cusum_classic,193,1897.4,True
synth01,glr_multiscale,104,785.7,True
synth01,cusum_leaky,321,44.9,False
synth02,cusum_classic,212,2128.0,True
synth02,glr_multiscale,92,410.0,True
synth02,cusum_leaky,294,44.4,False
synth03,cusum_classic,193,1463.5,True
synth03,glr_multiscale,124,562.8,True
synth03,cusum_leaky,330,43.9,False
synth04,cusum_classic,105,2434.2,True
synth04,glr_multiscale,75,544.5,True
synth04,cusum_leaky,334,44.3,False
synth05,cusum_classic,124,2608.2,True
synth05,glr_multiscale,83,638.2,True
synth05,cusum_leaky,338,45.0,False
synth06,cusum_classic,227,992.2,True
synth06,glr_multiscale,102,673.1,True
synth06,cusum_leaky,304,44.8,False
synth07,cusum_classic,221,1281.0,True
synth07,glr_multiscale,109,737.2,True
synth07,cusum_leaky,307,45.0,False
synth08,cusum_classic,166,1563.9,True
synth08,glr_multiscale,80,694.7,True
synth08,cusum_leaky,303,44.4,False
synth09,cusum_classic,181,972.2,True
synth09,glr_multiscale,78,802.5,True
synth09,cusum_leaky,309,45.0,False
synth10,cusum_classic,276,1223.3,True
synth10,glr_multiscale,101,647.8,True
synth10,cusum_leaky,316,45.0,False
