subject,method,n_segments_raw,n_segments_after_merge_gaps,n_short_fragments_raw_lt_0.3s
synth01,single,935,286,88
synth01,double,291,280,0
synth02,single,1016,277,131
synth02,double,276,270,0
synth03,single,1261,282,217
synth03,double,293,277,0
synth04,single,859,300,96
synth04,double,301,296,0
synth05,single,995,295,97
synth05,double,300,290,1
synth06,single,1067,281,145
synth06,double,286,275,0
synth07,single,1177,292,294
synth07,double,311,285,3
synth08,single,861,285,81
synth08,double,296,283,2
synth09,single,923,279,133
synth09,double,285,274,1
synth10,single,1164,284,136
synth10,double,295,279,0
