subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
ADRYAN.SANTANA DE LIMA.11-12-2018 22.00.50,1,single,phasic,27.0,39.0,12.0,0.0,27.0,39.0,27.0,39.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ADRYAN.SANTANA DE LIMA.11-12-2018 22.00.50,1,double,phasic,27.0,39.0,12.0,0.0,27.0,39.0,27.0,39.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,1,single,phasic,15900.0,15915.0,15.0,15870.0,30.0,45.0,30.0,45.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,1,double,phasic,15900.0,15915.0,15.0,15870.0,30.0,45.0,30.0,45.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,2,single,phasic,15924.0,15951.0,27.0,15870.0,54.0,81.0,54.0,81.0,27.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,2,double,phasic,15924.0,15951.0,27.0,15870.0,54.0,81.0,54.0,81.0,27.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,3,single,phasic,16017.0,16029.0,12.0,15870.0,147.0,159.0,147.0,159.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,3,double,phasic,16017.0,16029.0,12.0,15870.0,147.0,159.0,147.0,159.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,4,single,phasic,16068.0,16083.0,15.0,15870.0,198.0,213.0,198.0,213.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,4,double,phasic,16068.0,16083.0,15.0,15870.0,198.0,213.0,198.0,213.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,5,single,phasic,16101.0,16116.0,15.0,15870.0,231.0,246.0,231.0,246.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,5,double,phasic,16101.0,16116.0,15.0,15870.0,231.0,246.0,231.0,246.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,6,single,phasic,16143.0,16173.0,30.0,15870.0,273.0,303.0,273.0,303.0,30.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,6,double,phasic,16143.0,16173.0,30.0,15870.0,273.0,303.0,273.0,303.0,30.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,7,single,phasic,16191.0,16206.0,15.0,15870.0,321.0,336.0,321.0,336.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,7,double,phasic,16191.0,16206.0,15.0,15870.0,321.0,336.0,321.0,336.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,8,single,phasic,16251.0,16266.0,15.0,15870.0,381.0,396.0,381.0,396.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,8,double,phasic,16251.0,16266.0,15.0,15870.0,381.0,396.0,381.0,396.0,15.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,9,single,phasic,16290.0,16311.0,21.0,15870.0,420.0,441.0,420.0,441.0,21.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,9,double,phasic,16290.0,16311.0,21.0,15870.0,420.0,441.0,420.0,441.0,21.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,10,single,phasic,16323.0,16335.0,12.0,15870.0,453.0,465.0,453.0,465.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,10,double,phasic,16323.0,16335.0,12.0,15870.0,453.0,465.0,453.0,465.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,11,single,phasic,16371.0,16377.0,6.0,15870.0,501.0,507.0,501.0,507.0,6.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,11,double,phasic,16371.0,16377.0,6.0,15870.0,501.0,507.0,501.0,507.0,6.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,12,single,phasic,16377.0,16392.0,15.0,15870.0,507.0,522.0,507.0,522.0,15.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,12,double,phasic,16377.0,16392.0,15.0,15870.0,507.0,522.0,507.0,522.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,13,single,phasic,16401.0,16413.0,12.0,15870.0,531.0,543.0,531.0,543.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,13,double,phasic,16401.0,16413.0,12.0,15870.0,531.0,543.0,531.0,543.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,14,single,phasic,16488.0,16500.0,12.0,15870.0,618.0,630.0,618.0,630.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,14,double,phasic,16488.0,16500.0,12.0,15870.0,618.0,630.0,618.0,630.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,15,single,phasic,16584.0,16599.0,15.0,15870.0,714.0,729.0,714.0,729.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,15,double,phasic,16584.0,16599.0,15.0,15870.0,714.0,729.0,714.0,729.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,16,single,phasic,16752.0,16770.0,18.0,15870.0,882.0,900.0,882.0,900.0,18.0,False,False,2,1,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,16,double,phasic,16752.0,16770.0,18.0,15870.0,882.0,900.0,882.0,900.0,18.0,False,False,3,2,0,1,any|phasic,same_type_detected,True,True,False,False,False
ins1,17,single,phasic,16803.0,16815.0,12.0,15870.0,933.0,945.0,933.0,945.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,17,double,phasic,16803.0,16815.0,12.0,15870.0,933.0,945.0,933.0,945.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,18,single,phasic,16851.0,16863.0,12.0,15870.0,981.0,993.0,981.0,993.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,18,double,phasic,16851.0,16863.0,12.0,15870.0,981.0,993.0,981.0,993.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,19,single,phasic,16902.0,16908.0,6.0,15870.0,1032.0,1038.0,1032.0,1038.0,6.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,19,double,phasic,16902.0,16908.0,6.0,15870.0,1032.0,1038.0,1032.0,1038.0,6.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,20,single,phasic,17097.0,17112.0,15.0,15870.0,1227.0,1242.0,1227.0,1242.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,20,double,phasic,17097.0,17112.0,15.0,15870.0,1227.0,1242.0,1227.0,1242.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,21,single,phasic,17154.0,17169.0,15.0,15870.0,1284.0,1299.0,1284.0,1299.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,21,double,phasic,17154.0,17169.0,15.0,15870.0,1284.0,1299.0,1284.0,1299.0,15.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,22,single,phasic,17214.0,17226.0,12.0,15870.0,1344.0,1356.0,1344.0,1356.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,22,double,phasic,17214.0,17226.0,12.0,15870.0,1344.0,1356.0,1344.0,1356.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,23,single,phasic,17838.0,17847.0,9.0,15870.0,1968.0,1977.0,1968.0,1977.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,23,double,phasic,17838.0,17847.0,9.0,15870.0,1968.0,1977.0,1968.0,1977.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,24,single,phasic,17952.0,17973.0,21.0,15870.0,2082.0,2103.0,2082.0,2103.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,24,double,phasic,17952.0,17973.0,21.0,15870.0,2082.0,2103.0,2082.0,2103.0,21.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,25,single,phasic,18237.0,18255.0,18.0,15870.0,2367.0,2385.0,2367.0,2385.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,25,double,phasic,18237.0,18255.0,18.0,15870.0,2367.0,2385.0,2367.0,2385.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,26,single,phasic,21048.0,21060.0,12.0,15870.0,5178.0,5190.0,5178.0,5190.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,26,double,phasic,21048.0,21060.0,12.0,15870.0,5178.0,5190.0,5178.0,5190.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,27,single,phasic,21843.0,21879.0,36.0,15870.0,5973.0,6009.0,5973.0,6009.0,36.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,27,double,phasic,21843.0,21879.0,36.0,15870.0,5973.0,6009.0,5973.0,6009.0,36.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,28,single,phasic,21888.0,21900.0,12.0,15870.0,6018.0,6030.0,6018.0,6030.0,12.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,28,double,phasic,21888.0,21900.0,12.0,15870.0,6018.0,6030.0,6018.0,6030.0,12.0,False,False,4,4,0,0,phasic,same_type_detected,True,True,False,False,False
ins1,29,single,phasic,21951.0,22011.0,60.0,15870.0,6081.0,6141.0,6081.0,6141.0,60.0,False,False,4,2,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,29,double,phasic,21951.0,22011.0,60.0,15870.0,6081.0,6141.0,6081.0,6141.0,60.0,False,False,3,1,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,30,single,phasic,22071.0,22119.0,48.0,15870.0,6201.0,6249.0,6201.0,6249.0,48.0,False,False,3,1,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,30,double,phasic,22071.0,22119.0,48.0,15870.0,6201.0,6249.0,6201.0,6249.0,48.0,False,False,5,3,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
ins1,31,single,phasic,22137.0,22161.0,24.0,15870.0,6267.0,6291.0,6267.0,6291.0,24.0,False,False,1,0,1,0,tonic,other_type_detected,False,True,False,False,True
ins1,31,double,phasic,22137.0,22161.0,24.0,15870.0,6267.0,6291.0,6267.0,6291.0,24.0,False,False,3,2,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,32,single,phasic,22182.0,22215.0,33.0,15870.0,6312.0,6345.0,6312.0,6345.0,33.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,32,double,phasic,22182.0,22215.0,33.0,15870.0,6312.0,6345.0,6312.0,6345.0,33.0,False,False,2,1,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
ins1,33,single,phasic,22506.0,22521.0,15.0,15870.0,6636.0,6651.0,6636.0,6651.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,33,double,phasic,22506.0,22521.0,15.0,15870.0,6636.0,6651.0,6636.0,6651.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,34,single,phasic,22608.0,22620.0,12.0,15870.0,6738.0,6750.0,6738.0,6750.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
ins1,34,double,phasic,22608.0,22620.0,12.0,15870.0,6738.0,6750.0,6738.0,6750.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
