subject,method,n_segments_raw,n_segments_after_merge,n_short_lt_0.3s
synth01,rms,291,280,0
synth01,tkeo,280,280,0
synth02,rms,276,270,0
synth02,tkeo,270,270,0
synth03,rms,293,277,0
synth03,tkeo,277,277,0
synth04,rms,301,296,0
synth04,tkeo,296,296,0
synth05,rms,300,290,1
synth05,tkeo,290,290,0
synth06,rms,286,275,0
synth06,tkeo,275,275,0
synth07,rms,311,285,3
synth07,tkeo,287,285,0
synth08,rms,296,283,2
synth08,tkeo,283,283,0
synth09,rms,285,274,1
synth09,tkeo,274,274,0
synth10,rms,295,279,0
synth10,tkeo,279,279,0
