subject,method,separation_ratio
synth01,rms,4.814982709877002
synth01,tkeo,16.269542931775796
synth02,rms,4.806383004027088
synth02,tkeo,16.123501863943098
synth03,rms,4.786193659590886
synth03,tkeo,16.068035646475767
synth04,rms,4.825244803283061
synth04,tkeo,16.252703271596275
synth05,rms,4.799817646762136
synth05,tkeo,16.136232299892747
synth06,rms,4.797961618521552
synth06,tkeo,16.06286401115883
synth07,rms,4.80296928427188
synth07,tkeo,16.101182423045863
synth08,rms,4.793480757272798
synth08,tkeo,16.040715093529357
synth09,rms,4.791687403532719
synth09,tkeo,15.99957104997718
synth10,rms,4.799911680528815
synth10,tkeo,16.11884526416672
